id_lieu;type_de_tournage;titre;realisateur_ice;societe_de_production;fk_localisation;date_de_debut;date_de_fin
2019-224;Série Web;Viajando à Trabalho;NonStop Produções;NonStop Produções;1225;2019-02-27;2019-02-27
2016-1307;Long métrage;BURN OUT;YANN GOZLAN;2425 ING PRODUCTION;4433;2016-10-05;2016-10-05
2016-1938;Série TV;LE BUREAU DES LEGENDES/SAISON 2 N°1 A 8;ERIC ROCHANT;THE OLIGARCHS PRODUCTIONS;230;2016-01-14;2016-01-14
2016-788;Long métrage;CHERCHEZ LA FEMME;SOU ABADI;THE FILM;4431;2016-05-31;2016-05-31
2018-902;Série TV;Osmosis;Julis Berge - Philippe Larue;CAPA SERIES;4559;2018-07-31;2018-07-31
2019-555;Série TV;BARON NOIR;ANTOINE CHEVROLLIER;KWAÏ;3713;2019-06-14;2019-06-15
2016-1326;Long métrage;DALIDA;LISA AZUELOS;BETHSABEE MUCHO;172;2016-03-21;2016-03-21
2016-1952;Long métrage;JUST DIVORCED;MAXIME GOVARE;LES IMPRODUCTIBLES;3763;2016-10-04;2016-10-04
2016-800;Téléfilm;NADIA;LEA MAZER;MURMURES PRODUCTIONS;2550;2016-04-25;2016-04-27
2019-186;Long métrage;J'ACCUSE;Roman Polanski;LEGENDAIRE;4257;2019-02-21;2019-02-22
2019-569;Série TV;The Eddy;Damien Chazelle;atlantique productions;3325;2019-06-04;2019-06-04
2016-1328;Long métrage;BEFIKRE;ADITYA CHOPRA;FIRSTEP;3728;2016-04-27;2016-04-27
2016-1968;Série TV;10%/SAISON 2;JEANNE HERRY;MON VOISIN PRODUCTIONS;5087;2016-09-29;2016-09-29
2016-2314;Long métrage;JEUNE FEMME;LEONOR SERRAILLE;BLUE MONDAY PRODUCTIONS;5441;2016-02-11;2016-02-11
2019-551;Série TV;The Eddy;Damien Chazelle;atlantique productions;4426;2019-05-27;2019-05-29
2019-585;Série TV;L'art du crime saison 3;Elsa Bennett et Hippolyte Dard;GAUMONT TELEVISION c/o GAUMONT PRODUCTION TELEVISION;1239;2019-06-06;2019-06-06
2016-1334;Long métrage;NUMERO UNE;TONIE MARSHALL;TABO TABO FILMS;4938;2016-10-18;2016-10-18
2016-1969;Série TV;10%/SAISON 2;JEANNE HERRY;MON VOISIN PRODUCTIONS;3819;2016-09-29;2016-09-29
2016-2347;Long métrage;L'AMANT D'UN JOUR;PHILIPPE GARREL;SBS FILMS;5039;2016-07-29;2016-07-29
2019-573;Série TV;UN HOMME PARFAIT;PIERRE AKNINE;CAPA DRAMA;2290;2019-05-31;2019-05-31
2019-1550;Long métrage;Tendre et saignant;Christopher Thompson;Les Films du Cap;2761;2019-11-19;2019-11-22
2016-1350;Long métrage;LA MELODIE;RACHID HAMI;MIZAR FILMS;3287;2016-06-23;2016-06-23
2020-552;Long métrage;Les Fantasmes;David et Stéphane FOENKINOS;Mandarin Production;963;2020-09-21;2020-09-22
2020-856;Long métrage;La Menace;Philippe Le Guay;Les Films Des Tournelles;1112;2020-11-17;2020-11-17
2019-580;Série TV;FAITES DES GOSSES SAISON 1 - EPISODE 5 A 6;PHILIPPE LEFEBVRE;ELEPHANT STORY;4234;2019-06-07;2019-06-07
2019-1555;Série TV;MODERN FAMILY 11;Jim Bagdonas;FROGGIE PRODUCTION;2789;2019-11-15;2019-11-15
2016-1353;Long métrage;THE ESCAPE;DOMINIC SAVAGE;HANNA FILMS;4560;2016-10-19;2016-10-19
2020-560;Téléfilm;FRIENDZONE;Charles Van Tieghem;TELFRANCE ET CIE;3568;2020-10-02;2020-10-03
2020-857;Long métrage;La Menace;Philippe Le Guay;Les Films Des Tournelles;326;2020-11-17;2020-11-17
2017-77;Long métrage;Le Doudou;Philippe MECHELEN / Julien HERVE;Eskwad;3638;2017-03-02;2017-03-02
2019-1577;Série Web;SKAM SAISON 5 ET 6 SEMAINE 7 SUR 9;;GETEVE PRODUCTIONS;524;2019-11-22;2019-11-23
2016-1356;Téléfilm;COUP DE FOUDRE A JAIPUR;ARNAULD MERCADIER;BIG BAND STORY;4766;2016-03-31;2016-03-31
2020-563;Long métrage;c'est quoi ce papy;Gabriel Julien Laferrière;BONNE PIOCHE CINEMA;3303;2020-10-07;2020-10-08
2020-903;Long métrage;IRREDUCTIBLE;JEROME COMMANDEUR;MACADAM FILMS;2356;2020-11-23;2020-11-23
2017-84;Série TV;CHRONIQUES PARISIENNES 7;ZABOU BREITMAN;LES FILMS DU KIOSQUE;1407;2017-03-02;2017-03-02
2019-1579;Série TV;Emily in Paris;Darren Star;NW2020;4395;2019-11-13;2019-11-13
2016-1379;Long métrage;LA MELODIE;RACHID HAMI;MIZAR FILMS;1596;2016-06-17;2016-06-17
2020-568;Série TV;YOUR HONOR;JULIUS BERG;FEDERATION ENTERTAINMENT;2438;2020-10-05;2020-10-06
2016-858;Long métrage;LA DOULEUR;EMMANUEL FINKIEL;LES FILMS DU POISSON;5084;2016-08-30;2016-08-30
2017-96;Long métrage;EVA;Benoît JACQUOT;MACASSAR PRODUCTIONS;1457;2017-03-03;2017-03-03
2016-2585;Long métrage;THE ESCAPE;DOMINIC SAVAGE;HANNA FILMS;4632;2016-10-19;2016-10-19
2016-1382;Long métrage;JOUR J;REEM KHERICI;MANDARIN FILMS;3210;2016-08-18;2016-08-18
2020-593;Long métrage;ROSE;Niels Arden Oplev;FIRSTEP PRODUCTIONS;4725;2020-10-15;2020-10-15
2016-878;Long métrage;JE VAIS MIEUX;JEAN PIERRE AMERIS;EUROPA CORP;2343;2016-12-09;2016-12-09
2016-2583;Long métrage;MARIE FRANCINE;VALERIE LEMERCIER;RECTANGLE PRODUCTIONS;1658;2016-04-12;2016-04-12
2016-2600;Long métrage;DJANGO MELODIES;ETIENNE COMAR;CURIOSA FILMS;2713;2016-03-03;2016-03-03
2020-57;Long métrage;PETITE LEÇON D'AMOUR;EVE DEBOISE;BLUE MONDAY PRODUCTIONS;1751;2020-02-07;2020-02-07
2020-600;Long métrage;Des vacances à tout prix;Stevan Lee Mraovitch;Charlotte Russe Films;369;2020-10-08;2020-10-08
2016-2388;Long métrage;LES EX;MAURICE BARTHELEMY;RADAR FILMS;3682;2016-09-28;2016-09-28
2016-2616;Série TV;L'ART DU CRIME;CHARLOTTE BRANDSTROM;GAUMONT TELEVISION;356;2016-07-04;2016-07-04
2017-107;Long métrage;D'après une histoire vraie;;WY Productions;2120;2017-03-13;2017-03-13
2020-72;Série TV;Dix pour cent - Saison 4;Antoine GARCEAU - Marc FITOUSSI;Mon Voisin productions;3371;2020-02-06;2020-02-06
2019-1641;Série Web;SKAM SAISON 5 ET 6 SEMAINE 7 SUR 9;;GETEVE PRODUCTIONS;4857;2019-11-27;2019-11-27
2016-2406;Série TV;CHEFS - SAISON 2;ARNAUD MALHERBE;CALT PRODUCTION;1651;2016-06-21;2016-06-21
2016-2619;Série TV;LIANG SHENG;LIU CHUN-CHIEN;KANZAMAN FRANCE;5331;2016-12-13;2016-12-13
2017-109;Série TV;L'art du crime;Eric Woreth;GAUMONT TELEVISION c/o GAUMONT PRODUCTION TELEVISION;4992;2017-03-30;2017-03-31
2020-127;Long métrage;Envole Moi;Christophe Barratier;Chapter 2;4415;2020-02-26;2020-02-26
2019-1645;Long métrage;Une histoire d'amour et de désir;Leila Bouzid;Blue Monday Productions;2998;2019-12-06;2019-12-06
2016-2453;Série TV;RED OAKS;HALL HARTLEY;FIRSTEP;4967;2016-08-05;2016-08-05
2017-118;Série TV;L'art du crime;Eric Woreth;GAUMONT TELEVISION c/o GAUMONT PRODUCTION TELEVISION;4945;2017-03-31;2017-03-31
2017-117;Série TV;L'art du crime;Eric Woreth;GAUMONT TELEVISION c/o GAUMONT PRODUCTION TELEVISION;4133;2017-03-31;2017-03-31
2020-129;Téléfilm;BELLE BELLE BELLE;ANNE DEPETRINI;felicita films;5316;2020-02-26;2020-02-26
2019-1658;Série TV;SI tu vas bien;Tien-Jen HUANG;Vilmus Media;5395;2019-11-26;2019-12-01
2016-2470;Long métrage;BITTER FLOWERS;OLIVIER MEYS;MILLE ET UNE FILMS;4828;2016-10-04;2016-10-04
2017-186;Long métrage;Tazzeka;Jean-philippe Gaud;Takka Films;4040;2017-04-07;2017-04-07
2017-188;Long métrage;Un cadeau du ciel;;Legendaire;4729;2017-03-16;2017-03-17
2020-133;Série TV;EN THÉRAPIE;OLIVIER NAKACHE - ERIC TOLEDANO - PIERRE SALVADORI - MATHIEU VADEPIED - NICOLAS PARISIER;LES FILMS DU POISSON;410;2020-03-03;2020-03-04
2019-1659;Série TV;SI tu vas bien;Tien-Jen HUANG;Vilmus Media;4915;2019-11-26;2019-12-01
2016-2475;Long métrage;GAUGUIN;EDOUARD DELUC;MOVE MOVIE;4531;2016-12-08;2016-12-08
2017-202;Téléfilm;Si Paris n'était pas joyeux;ZHANG BO LI;Comme une image;2812;2017-03-25;2017-03-25
2017-212;Téléfilm;Diana, 20 ans aprés;Manuel Laigre;Kaliste Productions;3165;2017-03-23;2017-03-23
2016-1393;Série TV;PROFILAGE - SAISON 7/N° 70 ET 71;VINCENT JAMAIN;BEAUBOUG AUDIOVISUEL;3188;2016-04-13;2016-04-14
2018-1033;Long métrage;Quand on crie au Loup;Marilou Berry;Wonder Films;2670;2018-09-10;2018-09-11
2020-942;Série Web;H24;Valérie Urrea et Nathalie Masduraud;Les Batelières;5016;2020-11-29;2020-11-29
2017-233;Long métrage;Jean-François;Sergi Portabella;Surprise Alley;5069;2017-04-10;2017-04-10
2017-218;Long métrage;LUCKY;MIA ENGBERG;LA VOIE LACTEE;3517;2017-03-31;2017-04-01
2016-1406;Long métrage;JUST DIVORCED;MAXIME GOVARE;LES IMPRODUCTIBLES;4024;2016-09-27;2016-09-27
2018-1035;Série TV;PARIS OPERA SAISON 2 (LENA REVE D'ETOILES) 2;Matt bloom, Ronan Burke, Robert Burke;COTTONWOOD MEDIA;3786;2018-09-12;2018-09-12
2020-951;Long métrage;LES FEMMES DU SQUARE;JULIEN RAMBALDI;SAS LES FILMS DU KIOSQUE;2266;2020-11-24;2020-11-24
2017-250;Téléfilm;JE NE SUIS PAS UN HOMME FACILE;ELEONORE POURRIAT;FILM INVADERS;3255;2017-03-31;2017-03-31
2017-225;Long métrage;BIG BANG;CECILIA ROUAUD;FIRELIGHT;4327;2017-04-10;2017-04-11
2016-1413;Long métrage;BEFIKRE;ADITYA CHOPRA;FIRSTEP;1755;2016-05-24;2016-05-25
2018-1046;Série TV;PARIS OPERA SAISON 2 (LENA REVE D'ETOILES) 3;Matt bloom, Ronan Burke;COTTONWOOD MEDIA;2261;2018-09-04;2018-09-04
2020-976;Long métrage;Vous n'aurez pas ma haine;Kilian Riedhof;HAUT ET COURT;3600;2020-12-11;2020-12-11
2017-16;Long métrage;Le Doudou;Philippe MECHELEN / Julien HERVE;eskwad;2416;2017-03-01;2017-03-01
2017-243;Téléfilm;JE NE SUIS PAS UN HOMME FACILE;ELEONORE POURRIAT;FILM INVADERS;939;2017-03-30;2017-03-30
2016-1422;Série TV;THE COLLECTION;DEARBHLA WALSH;FEDERATION ENTERTAINMENT;4429;2016-03-30;2016-03-30
2018-1047;Série TV;PARIS OPERA SAISON 2 (LENA REVE D'ETOILES) 3;Matt bloom, Ronan Burke;COTTONWOOD MEDIA;4102;2018-09-07;2018-09-07
2016-903;Série TV;LES HOMMES DE L'OMBRE;FRED GARSON;MACONDO;3227;2016-04-15;2016-04-15
2017-65;Série TV;MUNCH;Nicolas Guicheteau;EXILENE FILMS;5466;2017-03-09;2017-03-09
2017-25;Long métrage;JALOUSE;Stéphane et David FOENKINOS;MANDARIN PRODUCTION;5245;2017-02-22;2017-02-22
2016-1425;Série TV;THE PACKAGE;CHANG KEUN CHUN;BH PARIS MEDIA PRODUCTIONS;3292;2016-10-19;2016-10-19
2016-403;Série TV;ENGRENAGES SAISON 6/N° 7 A 12;FREDERIC MERMOUD;SON ET LUMIERE;1568;2016-10-31;2016-10-31
2016-908;Série TV;CLEM/SAISON 7;CHRISTOPHE CAMPOS;MERLIN PRODUCTIONS;1416;2016-09-09;2016-09-09
2017-306;Série Web;Ramadan à Paris;Pape Amadou SY;Culture Univers;5223;2017-04-22;2017-04-22
2017-28;Long métrage;JALOUSE;Stéphane et David FOENKINOS;MANDARIN PRODUCTION;3995;2017-02-22;2017-02-22
2016-1488;Long métrage;STARS 80 LA SUITE;THOMAS LANGMANN;LA PETITE REINE;4658;2016-09-08;2016-09-08
2016-418;Long métrage;UN CONTE INDIEN;HECTOR CABELLO REYES;22H22 PRODUCTION;4371;2016-03-06;2016-03-06
2016-955;Long métrage;NOS ANNEES FOLLES;ANDRE TECHINE;ARPROD;5162;2016-08-29;2016-08-29
2017-316;Téléfilm;JE NE SUIS PAS UN HOMME FACILE;ELEONORE POURRIAT;FILM INVADERS;121;2017-04-21;2017-04-21
2017-47;Long métrage;SIMON ET THÉODORE;MIKAEL BUCH;MONA FILMS;4620;2017-03-15;2017-03-15
2020-188;Téléfilm;Coma Idyllique;Gabriel Julien Laférriere;Scarlett Production;2015;2020-03-13;2020-03-13
2016-474;Série TV;ENGRENAGES/SAISON 6/N° 1 A 6;FREDERIC JARDIN;SON ET LUMIERE;5411;2016-07-30;2016-07-30
2016-958;Long métrage;DEMAIN ET TOUS LES AUTRES JOURS (2);NOVEMIE LVOVSKY;F COMME FILM;857;2016-04-04;2016-04-07
2017-353;Long métrage;Amanda;Mikhael Hers;Nord-Ouest films;1686;2017-08-09;2017-08-09
2017-50;Long métrage;SIMON ET THÉODORE;MIKAEL BUCH;MONA FILMS;5265;2017-03-17;2017-03-18
2016-1534;Série TV;THE PACKAGE;CHANG KEUN CHUN;BH PARIS MEDIA PRODUCTIONS;4118;2016-10-13;2016-10-13
2016-496;Long métrage;GC5;GUILLAUME CANET;LES PRODUCTIONS DU TRESOR;3105;2016-02-23;2016-02-23
2016-959;Long métrage;FLEUVE NOIR;ERICK ZONCA;CURIOSA FILMS;2196;2016-05-02;2016-05-02
2017-270;Téléfilm;JE NE SUIS PAS UN HOMME FACILE;ELEONORE POURRIAT;FILM INVADERS;3144;2017-04-05;2017-04-06
2017-304;Long métrage;GEMINI;Christopher Mac Quarrie;FIRSTEP;4389;2017-04-23;2017-04-23
2016-1547;Long métrage;LE RIRE DE MA MERE;COLOMBE SAVIGNAC;LOMA NASHA PRODUCTION;1697;2016-08-05;2016-08-05
2016-1997;Série TV;LIANG SHENG;LIU CHUN-CHIEN;KANZAMAN FRANCE;1076;2016-12-12;2016-12-12
2016-2494;Long métrage;SI J'ETAIS UN HOMME;AUDREY DANA;CURIOSA FILMS;4679;2016-02-24;2016-02-24
2017-278;Long métrage;GEMINI;Christopher Mac Quarrie;FIRSTEP;683;2017-04-08;2017-04-08
2017-319;Long métrage;Première Année (2ème Partie);Thomas Lilti;LES FILMS DU PARC;1114;2017-05-15;2017-05-15
2016-1583;Série TV;NOIR ENIGMA;MANUEL BOURSINHAC;ASTHARTE ET COMPAGNIE;2839;2016-01-05;2016-01-05
2016-2015;Long métrage;DJANGO MELODIES;ETIENNE COMAR;CURIOSA FILMS;490;2016-04-25;2016-04-25
2016-2535;Long métrage;NUMERO UNE;TONIE MARSHALL;TABO TABO FILMS;2858;2016-10-26;2016-10-26
2017-289;Long métrage;Un cadeau du ciel;;Légendaire;4074;2017-04-13;2017-04-14
2017-336;Long métrage;Amanda;Mikhael Hers;Nord-Ouest films;4492;2017-08-25;2017-08-26
2020-212;Série TV;FAMILY BUSINESS S2;IGOR GOTESMAN;SAS LES FILMS DU KIOSQUE;1525;2020-05-19;2020-05-19
2020-635;Série TV;Nona et ses Filles;Valérie Donzelli;Gaumont TV c/o Gaumont Prod TV;2847;2020-10-13;2020-10-17
2016-2572;Long métrage;FLEUVE NOIR;ERICK ZONCA;CURIOSA FILMS;3850;2016-05-04;2016-05-04
2017-142;Long métrage;BELLEVILLE'S COP;Rachid Bouchareb;TESSALIT PRODUCTIONS;1019;2017-03-23;2017-03-23
2017-137;Long métrage;GARDE ALTERNEE;ALEXANDRA LECLERE;PAN EUROPEENNE;403;2017-03-23;2017-03-23
2020-221;Long métrage;ADIEU MONSIEUR HAFFMANN;FRED CAVAYÉ;VENDOME FILMS;2829;2020-05-21;2020-05-29
2020-652;Long métrage;c'est quoi ce papy;Gabriel Julien Laferrière;BONNE PIOCHE CINEMA;4229;2020-10-14;2020-10-14
2020-1010;Série TV;PLAN B;Christophe CAMPOS;Gaumont Production Télévision;4144;2020-12-03;2020-12-03
2017-149;Long métrage;BELLEVILLE'S COP;Rachid Bouchareb;TESSALIT PRODUCTIONS;4297;2017-03-29;2017-03-29
2017-138;Long métrage;BIG BANG;Cécilia Rouaud;FIRELIGHT Big Bang;5203;2017-03-29;2017-03-29
2020-233;Téléfilm;AU-DESSUS DES NUAGES;JEROME CORNUAU;EXILENE FILMS;4316;2020-06-18;2020-06-18
2020-668;Série TV;Luther;David Morley;STORIA TELEVISION Luther;5027;2020-10-20;2020-10-20
2020-1061;Long métrage;FEU !!;Claire Denis;CURIOSA FILMS;954;2020-12-08;2020-12-08
2017-168;Téléfilm;Si Paris n'était pas joyeux;Zhang bo li et Wang chen Xi;comme une image;3195;2017-03-20;2017-03-20
2017-163;Téléfilm;JE NE SUIS PAS UN HOMME FACILE;ELEONORE POURRIAT;FILM INVADERS;651;2017-03-21;2017-03-21
2020-242;Série TV;Je Te Promets;Renaud Bertrand;Authentic Prod;3157;2020-06-23;2020-06-23
2019-100;Long métrage;Passion Simple;Danielle Arbid;LES FILMS PELLEAS;2348;2019-02-05;2019-02-06
2016-1011;Série TV;LEO MATTEI/N°13 ET 14;SEBASTIEN CIRADE;LGM CINEMA;4025;2016-03-09;2016-03-10
2017-497;Long métrage;VOLTAIRE;Stephen Woolfenden;PENINSULA FILM;4225;2017-10-05;2017-10-05
2017-178;Série TV;CHRONIQUES PARISIENNES 11;ZABOU BREITMAN;LES FILMS DU KIOSQUE;105;2017-03-20;2017-03-20
2020-244;Téléfilm;Coma Idyllique;Gabriel Julien Laférriere;Scarlett Production;3627;2020-06-22;2020-06-24
2019-126;Long métrage;Les hommes de Namsan;Min-Ho Woo;KEYSTONE FILMS;4329;2019-02-15;2019-02-15
2016-1013;Série TV;STAY WITH ME;XIANCHENG DENG;PARIS 818 MEDIA;4036;2016-03-29;2016-03-29
2017-531;Téléfilm;UN ADULTERE;PHILIPPE HAREL;SCARLETT PRODUCTION;3457;2017-09-19;2017-09-19
2017-509;Série TV;UNE FAMILLE FORMIDABLE - SAISON 14;Miguel Courtois;Panama productions;3505;2017-09-15;2017-09-15
2020-264;Téléfilm;Coma Idyllique;Gabriel Julien Laférriere;Scarlett Production;4436;2020-06-30;2020-06-30
2016-508;Série TV;THE PACKAGE;CHANG KEUN CHUN;BH PARIS MEDIA PRODUCTIONS;2;2016-10-14;2016-10-14
2016-1020;Série TV;LA VIE DEVANT ELLES/SAISON 2;GABRIEL AGHION;CINETEVE;2367;2016-07-19;2016-07-19
2017-548;Série TV;Baron noir;Antoine Chevrollier - Ziad Doueiri;KWAI;3726;2017-09-28;2017-09-28
2017-543;Long métrage;TOUT LE MONDE DEBOUT;Franck Dubosc;;4150;2017-09-13;2017-09-13
2020-270;Téléfilm;Coma Idyllique;Gabriel Julien Laférriere;Scarlett Production;3682;2020-06-29;2020-06-29
2016-533;Long métrage;LE REDOUTABLE;MICHEL HAZANAVICIUS;LES COMPAGNONS DU CINEMA;4724;2016-08-18;2016-08-18
2016-1034;Long métrage;LES FANTOMES D'ISMAEL;ARNAUD DESPLESCHIN;WHY NOT PRODUCTIONS;2220;2016-09-12;2016-09-12
2017-562;Série TV;BER;Hugo Blick;Gem Films;4123;2017-09-25;2017-09-25
2017-558;Série TV;BER;Hugo Blick;Gem Films;4175;2017-09-30;2017-09-30
2016-27;Long métrage;MARIAGE BLANC;TAREK BOUDALI;AXEL FILMS;2423;2016-08-29;2016-08-30
2016-561;Série TV;PROFILAGE/67 A 68/ SAISON 7;ALEXANDRE LAURENT;BEAUBOUG AUDIOVISUEL;5455;2016-02-05;2016-02-05
2016-2636;Long métrage;BEFIKRE;ADITYA CHOPRA;FIRSTEP;5321;2016-04-27;2016-04-27
2017-571;Long métrage;Ru Ying Sui Xin;Huo Jianqi;Hippocampe Productions;774;2017-09-28;2017-09-28
2017-466;Série TV;NOX;Mabrouk el Mechri;Gaumont Télévision c/o Gaumont Production Télévision;4453;2017-09-05;2017-09-06
2016-28;Long métrage;STARS 80 LA SUITE;THOMAS LANGMANN;LA PETITE REINE;2405;2016-09-02;2016-09-02
2016-585;Long métrage;DEMAIN ET TOUS LES AUTRES JOURS (2);NOVEMIE LVOVSKY;F COMME FILM;3450;2016-03-25;2016-03-25
2016-2641;Série TV;IN AMERICA;VINCENT PRIMAULT;MAKING PROD;4378;2016-04-06;2016-04-06
2017-670;Long métrage;Premieres Vacances;Patrick Cassir;The Film;390;2017-10-13;2017-10-13
2017-475;Long métrage;Le Proverbe;Daniel Auteuil;Curiosa;800;2017-09-07;2017-09-08
2016-52;Long métrage;GANGSTERDAM;ROMAIN LEVY;LES PRODUCTIONS DU TRESOR;4226;2016-08-22;2016-08-22
2016-586;Long métrage;DEMAIN ET TOUS LES AUTRES JOURS (2);NOVEMIE LVOVSKY;F COMME FILM;4678;2016-04-14;2016-04-14
2016-2671;Long métrage;DEMAIN ET TOUS LES AUTRES JOURS (2);NOVEMIE LVOVSKY;F COMME FILM;5078;2016-04-14;2016-04-14
2017-394;Long métrage;Tout ce qu'il me reste de la revolution;Judith Davis;Apsara Films;449;2017-09-19;2017-09-19
2017-625;Série TV;Vingt-cinq;Bryan Marciano;ELIPH PRODUCTIONS;831;2017-10-06;2017-10-06
2016-71;Long métrage;BEFIKRE;ADITYA CHOPRA;FIRSTEP;4689;2016-02-25;2016-02-25
2016-2082;Long métrage;TELLE MERE TELLE FILLE;NOEMIE SAGLIO;PAN EUROPENNE PRODUCTION;1203;2016-07-06;2016-07-06
2016-1036;Long métrage;LES FANTOMES D'ISMAEL;ARNAUD DESPLESCHIN;WHY NOT PRODUCTIONS;3145;2016-10-19;2016-10-19
2017-402;Série TV;Ton ancien toi;Jeffrey Chiang;Paris 818 Média;5353;2017-08-21;2017-08-22
2017-637;Série TV;ÇUKUR - Episode 1 : GÖKHAN HORZUM;Sinan Öztürk;Funny Balloons;3735;2017-10-05;2017-10-05
2016-1618;Long métrage;LE REDOUTABLE;MICHEL HAZANAVICIUS;LES COMPAGNONS DU CINEMA;1030;2016-07-27;2016-07-27
2016-2143;Long métrage;ESPECES MENACEES;GILLES BOURDOS;LES FILMS DU LENDEMAIN;216;2016-03-12;2016-03-12
2016-1046;Long métrage;EMBRASSE MOI;CYPRIEN VIAL;NOLITA CINEMA;1393;2016-06-20;2016-06-23
2017-612;Long métrage;VOLTAIRE;Stephen Woolfenden;PENINSULA FILM;4342;2017-10-09;2017-10-09
2017-645;Série TV;ALICE NEVERS;vincent giovanni;EGO PRoductions;3247;2017-10-19;2017-10-19
2016-1670;Long métrage;SIMONE BENLOULOU;MYRIAM AZIZA;INCOGNITA;2405;2016-10-07;2016-10-07
2016-2153;Série TV;THE PACKAGE;CHANG KEUN CHUN;BH PARIS MEDIA PRODUCTIONS;198;2016-10-21;2016-10-21
2016-1049;Long métrage;SI J'ETAIS UN HOMME;AUDREY DANA;CURIOSA FILMS;5397;2016-02-17;2016-02-17
2017-486;Long métrage;VOLTAIRE;Stephen Woolfenden;PENINSULA FILM;4688;2017-10-03;2017-10-03
2017-648;Série TV;ALICE NEVERS;vincent giovanni;EGO PRoductions;5018;2017-10-18;2017-10-18
2016-1675;Long métrage;MON POUSSIN;FREDERIC FORESTIER;LES FILMS DU 24;1349;2016-03-08;2016-03-08
2016-2166;Long métrage;SI J'ETAIS UN HOMME;AUDREY DANA;CURIOSA FILMS;5063;2016-02-24;2016-02-24
2016-1052;Série TV;LE BUREAU DES LEGENDES/SAISON 2 N°1 A 8;ERIC ROCHANT;THE OLIGARCHS PRODUCTIONS;3102;2016-01-19;2016-01-19
2017-813;Long métrage;SUN;Jonathan Desoindre;Rouge International;5332;2017-11-09;2017-11-09
2017-649;Série TV;ALICE NEVERS;vincent giovanni;EGO PRoductions;5148;2017-10-18;2017-10-18
2020-299;Long métrage;PETITE LEÇON D'AMOUR;EVE DEBOISE;BLUE MONDAY PRODUCTIONS;3690;2020-07-18;2020-07-18
2020-696;Long métrage;Les Jeunes Amants;Carine Tardieu;EX NIHILO;1578;2020-10-22;2020-10-22
2016-1083;Long métrage;BITTER FLOWERS;OLIVIER MEYS;MILLE ET UNE FILMS;2442;2016-10-04;2016-10-04
2017-816;Long métrage;SUN;Jonathan Desoindre;Rouge International;2512;2017-10-26;2017-10-26
2017-672;Long métrage;Premieres Vacances;Patrick Cassir;The Film;3693;2017-10-12;2017-10-13
2020-311;Long métrage;Un Monde Réel (ex - Une fille en or);Antoinette Boulat;MACASSAR PRODUCTIONS;3953;2020-07-27;2020-07-27
2020-714;Long métrage;LES FEMMES DU SQUARE;JULIEN RAMBALDI;SAS LES FILMS DU KIOSQUE;2797;2020-10-28;2020-10-28
2016-1088;Série TV;CLEM/SAISON 7;CHRISTOPHE CAMPOS;MERLIN PRODUCTIONS;1435;2016-05-17;2016-05-20
2017-831;Série TV;Vingt-cinq;Bryan Marciano;ELIPH PRODUCTIONS;1382;2017-10-25;2017-10-25
2017-675;Long métrage;Premieres Vacances;Patrick Cassir;The Film;2399;2017-10-11;2017-10-11
2020-322;Série TV;Arsène Lupin;Ludovic BERNARD;Gaumont production télévision;4339;2020-07-30;2020-07-30
2020-716;Long métrage;LES FEMMES DU SQUARE;JULIEN RAMBALDI;SAS LES FILMS DU KIOSQUE;871;2020-10-28;2020-10-28
2020-1135;Long métrage;STELLA EST AMOUREUSE;Sylvie Verheyde;ATELIER DE PRODUCTION;4752;2020-12-22;2020-12-22
2017-833;Série TV;Vingt-cinq;Bryan Marciano;ELIPH PRODUCTIONS;268;2017-10-25;2017-10-26
2017-685;Série TV;NEXITY - A CHACUN SA VILLE - ( PARTIE 2);Nath DUMONT;DREAM ON;4062;2017-04-27;2017-04-27
2020-358;Long métrage;Cléo, Melvil et moi;Arnaud Viard;Vito Films;1546;2020-09-23;2020-09-23
2020-718;Long métrage;LES FEMMES DU SQUARE;JULIEN RAMBALDI;SAS LES FILMS DU KIOSQUE;4317;2020-10-29;2020-10-29
2016-1106;Long métrage;SEULS;DAVID MOREAU;ECHO FILMS;2172;2016-03-29;2016-03-29
2017-870;Téléfilm;l'incroyable show;Marc André Brunet et Manu Joucla;KMBO Production;5296;2017-11-09;2017-11-09
2017-698;Série TV;Baron noir;Antoine Chevrollier - Ziad Doueiri;KWAI;765;2017-10-14;2017-10-14
2019-598;Long métrage;Maoussi;Charlotte Schiøler;C.S. Productions;473;2019-06-04;2019-06-04
2020-723;Long métrage;Les Jeunes Amants;Carine Tardieu;EX NIHILO;1942;2020-11-04;2020-11-05
2016-1172;Long métrage;MAMAN A TORT;MARC FITOUSSI;AVENUE B;3406;2016-01-07;2016-01-08
2017-884;Série TV;LRDM - Patriot season 2;Steven Conrad;NW2018 (c/o Firstep);4905;2017-11-08;2017-11-08
2017-391;Long métrage;Tout ce qu'il me reste de la revolution;Judith Davis;Apsara Films;5042;2017-08-30;2017-08-30
2019-633;Long métrage;En attendant qui ? Mai;Marc RECUENCO;SerialBstudio;2730;2019-06-17;2019-06-17
2020-724;Série TV;L'Opéra;Stéphane DEMOUSTIER;Telfrance Cie;305;2020-10-21;2020-10-22
2016-2717;Long métrage;DEMAIN ET TOUS LES AUTRES JOURS (2);NOVEMIE LVOVSKY;F COMME FILM;857;2016-04-15;2016-04-15
