id_lieu;fk_localisation;fk_periode
2020-1169;609;5579
2019-499;143;4135
2016-1209;4694;326
2019-1458;2280;4664
2016-1218;641;1405
2019-1473;4726;4677
2016-1234;241;1210
2019-1487;4439;4693
2016-1240;3188;830
2019-1489;3376;4689
2016-1250;2331;1255
2018-868;3099;3148
2016-1278;5094;1057
2018-932;104;3209
2016-1287;768;702
2019-251;2022;3836
2016-2784;3148;81
2019-529;2544;4052
2020-1;1419;4902
2019-1507;2303;4736
2020-24;440;4922
2019-1512;5414;4728
2020-28;1531;4896
2019-1536;2156;4737
2020-34;4370;4919
2018-921;2322;3182
2020-54;1477;4938
2019-189;5473;3787
2016-1304;2565;810
2019-561;998;4040
2016-1327;857;283
2019-570;2862;4095
2016-1329;2126;752
2019-572;2290;4048
2016-1349;3880;596
2019-593;4987;4061
2016-1352;4513;151
2019-1563;5031;4772
2020-77;4110;4956
2019-1571;3926;4786
2020-78;2535;4956
2017-368;3128;2030
2020-102;3398;4939
2017-78;2954;1540
2020-131;3978;4972
2017-99;4367;1546
2016-1390;797;66
2016-2625;1022;864
2016-1424;4188;1069
2017-200;4138;1568
2016-1443;5288;528
2017-204;3937;1584
2016-1461;2254;169
2017-219;48;1609
2020-160;370;4994
2017-241;4458;1653
2016-1527;4388;1324
2017-248;3280;1624
2016-1561;3771;515
2017-128;1090;1532
2020-216;3762;5029
2017-38;351;1515
2020-218;4493;5029
2017-43;3932;1520
2020-224;555;5038
2017-53;43;1526
2020-228;1748;5037
2017-326;4518;1691
2020-235;955;5053
2017-345;637;2012
2016-1;501;322
2017-279;4234;1671
2016-8;4832;25
2017-143;2463;1612
2016-46;5033;586
2017-156;4384;1574
2016-66;4165;596
2017-167;1389;1588
2016-70;2946;103
2017-507;4454;2152
2016-87;3717;63
2017-561;1723;2202
2016-92;3785;440
2017-435;4160;2173
2016-1601;1619;1402
2017-447;163;2103
2016-1641;3603;1416
2017-636;2362;2242
2016-1658;2329;561
2017-647;225;2292
2016-1665;2838;85
2017-689;2554;2279
2020-316;2106;5106
2017-425;118;2093
2020-318;2326;5102
2017-427;4453;2101
2020-324;4684;5107
2017-611;4437;2252
2020-338;162;5151
2018-1352;212;3503
2017-480;5317;2308
2019-263;511;3827
2018-1368;3559;3483
2017-819;1689;2396
2019-597;1921;4067
2018-1379;580;3526
2017-855;2647;2381
2019-601;513;4148
2019-683;4459;4109
2017-869;2928;2425
2019-1588;262;4828
2019-701;3493;4121
2017-879;5158;2392
2019-1597;4600;4774
2019-1043;5103;4367
2017-753;1153;2325
2016-133;2789;422
2019-1044;2479;4378
2017-754;1105;2352
2016-159;4160;45
2019-1309;4144;4630
2017-791;5327;2522
2016-161;2971;117
2019-1321;1114;4578
2017-794;3741;2541
2016-182;4150;1427
2019-1324;60;4582
2017-951;1821;2428
2016-191;2498;199
2019-1327;3396;4566
2017-954;1264;2418
2016-194;3421;418
2018-1392;2655;3500
2017-966;2182;2447
2016-1694;1339;1188
2018-1514;2820;3632
2017-984;136;2474
2016-1706;3178;39
2019-428;5047;3962
2017-1003;2613;2431
2016-1718;4958;777
2019-432;3714;3948
2017-1019;91;2509
2016-1719;2242;959
2019-439;4359;3961
2017-1216;3812;1768
2016-1720;1612;1048
2019-452;4092;3977
2017-798;3244;2336
2016-1727;2252;1383
2019-1352;4868;4618
2017-1064;4147;2505
2016-1772;2390;426
2018-1427;4178;3569
2017-1082;1281;2570
2016-1781;4849;796
2018-1465;3248;3580
2017-1564;4346;1921
2020-397;4398;5144
2019-1096;922;4417
2017-900;1971;2388
2020-433;4024;5166
2019-1392;2946;4610
2017-909;4665;2421
2018-1305;5102;3441
2019-1394;1097;4651
2017-928;4657;2456
2018-1323;2224;3473
2018-764;2885;3089
2017-1122;1262;2545
2019-281;4414;3848
2018-770;3556;3070
2017-1163;3709;1723
2016-213;499;1245
2018-772;3760;3071
2017-1221;4068;1815
2016-219;3773;441
2018-1487;1609;3611
2017-1228;3108;1836
2016-224;3331;16
2018-1563;1886;3658
2017-1233;4339;1777
2016-1810;804;786
2019-157;3108;3791
2017-1245;2012;1770
2016-1824;4808;50
2017-1246;4338;1769
2016-1877;2768;717
2017-1029;3792;2449
2020-477;4537;5222
2017-1033;4154;2466
2020-503;1361;5236
2017-1369;4039;1814
2020-504;3481;5238
2017-1381;4758;1864
2020-510;1188;5253
2017-1418;680;1462
2020-513;3402;5256
2017-1267;373;1819
2019-285;4378;3885
2017-1274;1093;1826
2018-1354;703;3476
2019-305;3429;3887
2017-1278;3427;1795
2018-1359;1441;3450
2019-321;4684;3886
2017-1289;4414;1693
2018-1362;2307;3478
2016-299;5203;1331
2017-1509;1520;2028
2019-690;2030;4099
2016-301;5198;1103
2017-1540;3950;1927
2019-698;1343;4124
2016-303;260;1212
2017-1431;5179;1901
2019-712;3284;4193
2016-352;5228;829
2017-1452;2447;1897
2019-1283;3653;4550
2016-367;984;179
2017-1299;4227;1767
2019-1284;817;4561
2016-401;4233;1002
2017-1328;3635;1818
2018-1389;3388;3523
2016-1914;3178;121
2019-174;134;3788
2017-1334;3781;1938
2018-1406;5389;3510
2016-1949;245;889
2019-514;3223;4009
2017-1342;4543;1938
2019-425;344;3971
2020-535;905;5255
2018-793;195;3110
2017-1359;1765;1877
2019-449;1346;3982
2020-537;4399;5299
2018-795;4216;3104
2017-1363;4239;1811
2019-1435;3769;4690
2020-561;777;5384
2018-799;3006;3094
2017-1367;4208;1814
2018-1434;1199;3541
2020-578;336;5335
2018-820;242;3105
2017-1671;4572;2021
2018-1440;1738;3540
2019-359;921;3896
2018-831;957;3109
2017-1679;4452;1433
2018-1443;3091;3589
2019-1676;4545;4859
2018-1522;2736;3630
2017-1691;597;1450
2018-1444;131;3567
2018-1025;383;3258
2018-1533;2183;3638
2017-1693;2235;1441
2018-1469;1914;3577
2018-1040;1085;3260
2019-465;2854;3981
2017-1722;4186;1440
2019-1101;2862;4474
2018-1049;1622;3291
2019-1466;4072;4659
2017-1731;4001;1475
2019-1107;2535;4499
2016-409;2072;1227
2018-846;3610;3133
2017-1627;4745;2001
2019-1123;2232;4449
2016-419;5257;226
2018-866;1277;3165
2017-1628;3763;1996
2019-1374;1628;4624
2016-424;1596;619
2018-1270;5301;3431
2017-1635;1806;2086
2018-746;1088;3065
2016-487;4291;848
2018-1277;3534;3572
2018-103;4314;2634
2018-1470;1995;3588
2016-1987;578;837
2018-1286;56;3474
2017-1585;1006;2031
2018-1568;1719;3663
2020-608;4783;5312
2019-254;4123;3836
2017-1592;3594;2024
2019-165;4712;3783
2020-620;2018;5315
2019-534;1242;4093
2018-27;2058;2585
2020-622;4274;5295
2019-1516;1114;4721
2018-48;3107;2638
2020-630;378;5336
2019-1526;2635;4722
2017-1649;4147;1456
2020-632;869;5336
2018-914;4219;3174
2017-1654;2445;1465
2020-636;3269;5355
2019-218;4841;3864
2017-1666;1761;1983
2019-171;3259;3766
2018-1057;4372;3271
2019-219;1040;3832
2017-1668;374;2091
2019-177;1493;3812
2019-87;4459;3725
2019-554;3070;4034
2018-241;2140;2700
2019-508;3529;4019
2019-108;3106;3734
2019-557;4284;4091
2018-242;3893;2738
2019-509;266;4012
2019-119;2230;3724
2019-574;2358;4062
2018-283;3253;2761
2018-832;236;3135
2019-381;4478;3938
2019-579;3810;4050
2018-3;2163;2571
2018-1526;3429;3633
2016-537;4423;1031
2019-583;3366;4084
2018-157;4707;2667
2018-1542;1601;3654
2016-593;3032;841
2019-1575;762;4780
2018-428;1393;2843
2018-1547;3709;3637
2016-2167;1454;249
2017-85;3994;1514
2018-430;4138;2834
2018-1558;728;3655
2016-2170;2619;521
2017-86;968;1565
2018-434;4117;2847
2019-468;827;4013
2020-689;2940;5368
2016-2591;5342;353
2018-149;1293;2699
2019-471;2737;3989
2020-725;4146;5361
2016-2599;2946;110
2018-616;4154;2963
2019-473;1575;3994
2020-733;4684;5382
2016-2626;3872;920
2018-486;4387;2909
2019-488;3722;4003
2019-720;1082;4181
2016-2634;3454;216
2018-502;1393;2884
2019-494;5043;4055
2019-729;3051;4178
2017-126;573;1528
2018-732;3367;3041
2019-1492;3805;4694
2019-730;1604;4169
2017-224;2120;1637
2018-330;1444;2795
2018-856;5110;3143
2019-1681;968;4810
2017-230;2292;1657
2018-553;1393;2919
2018-869;481;3138
2019-1691;778;4879
2017-234;1314;1653
2018-643;2368;3044
2018-1269;2558;3432
2019-1694;4275;4887
2017-244;3337;1615
2018-660;3748;3005
2018-1271;2401;3411
2019-1704;3352;4895
2017-259;3753;1654
2018-665;3679;2997
2018-1283;863;3522
2019-1711;4048;4839
2017-73;2021;1541
2018-684;2999;3027
2018-1284;3341;3444
2016-622;2088;1047
2017-313;3383;1677
2018-692;5260;3013
2019-229;3606;3825
2016-663;2337;324
2017-341;196;2119
2018-456;3588;2882
2019-246;1798;3836
2016-701;5271;467
2017-164;1677;1566
2018-466;4459;2908
2019-532;4765;4093
2016-2186;5324;1159
2017-465;4395;2130
2019-1741;3651;4867
2019-535;5153;4088
2016-2201;3750;546
2017-473;3778;2106
2018-1135;4393;3347
2019-539;4293;4028
2016-2230;1413;1045
2017-478;1346;2155
2018-592;2276;2950
2019-542;4150;4033
2016-2241;4542;827
2017-620;324;2283
2018-605;1600;2960
2019-1510;789;4734
2020-766;1932;5411
2017-387;2192;2190
2018-974;693;3220
2019-1524;3685;4696
2020-785;247;5413
2018-1351;2097;3503
2017-392;1917;2173
2018-992;146;3231
2018-910;3220;3183
2020-796;1148;5452
2018-1360;1202;3450
2017-406;2900;2060
2018-1015;98;3253
2018-928;5170;3217
2020-802;652;5440
2019-718;1464;4181
2017-413;3037;2065
2019-137;1974;3671
2019-205;3012;3841
2018-1090;4444;3290
2019-1285;1526;4556
2017-594;4112;2211
2019-150;499;3803
2019-209;2026;3817
2018-1092;5311;3292
2019-1312;3703;4630
2017-604;5312;2270
2019-753;4319;4206
2019-1557;4362;4751
2018-1101;388;3332
2019-1422;1846;4661
2017-609;3889;2291
2019-765;124;4219
2019-1568;3229;4752
2016-715;4351;1404
2019-1359;4384;4636
2017-614;4450;2252
2019-1724;1182;4860
2016-2581;931;307
2016-727;3532;1024
2019-1362;3136;4618
2017-487;4680;2226
2018-1225;5097;3418
2017-83;2304;1514
2018-1456;4078;3574
2017-836;2424;2307
2019-909;3414;4361
2017-88;1344;1521
2018-1458;3602;3590
2017-856;128;2387
2019-1230;2311;4529
2016-2624;3008;772
2019-1097;3264;4493
2017-784;3152;2342
2019-786;1351;4222
2016-2630;2050;1028
2019-1103;4393;4443
2017-793;5165;2502
2019-797;922;4333
2017-103;5323;1546
2019-1132;1114;4462
2017-944;2364;2413
2019-815;4274;4214
2017-108;2120;1543
2019-1384;4290;4623
2017-947;4597;2434
2019-1144;5203;4495
2017-215;502;1610
2019-705;2726;4159
2019-1401;2588;4608
2017-948;4186;2451
2019-1164;2813;4460
2017-227;1703;1611
2019-706;3605;4160
2018-759;1151;3106
2017-960;2210;2482
2018-1154;4458;3406
2017-245;379;1614
2019-1311;4428;4640
2018-789;3143;3093
2017-974;3100;2450
2018-1161;4036;3355
2017-258;1588;1654
2018-1384;1404;3512
2018-1484;1609;3618
2017-993;4056;2457
2018-1187;3770;3384
2017-14;2416;1508
2018-1388;2884;3523
2018-1498;1497;3597
2017-996;4114;2449
2018-1193;3040;3388
2017-37;4569;1495
2018-1391;4912;3506
2018-878;1201;3173
2017-712;3038;2316
2018-1195;620;3367
2017-66;1436;1517
2018-1507;3146;3614
2018-1561;397;3666
2017-716;2974;2290
2019-838;1487;4225
2017-305;3878;1662
2019-434;2846;3964
2018-1565;553;3659
2017-748;3881;2363
2019-848;3819;4276
2017-307;4916;1678
2019-448;2752;3982
2019-158;228;3785
2017-1187;317;1746
2019-1201;4421;4505
2017-311;204;1677
2018-1428;4475;3538
2017-1188;2769;1744
2019-1217;3747;4543
2017-312;1245;1677
2018-1448;1252;3578
2017-1194;667;1772
2019-1221;4370;4543
2017-150;968;1601
2018-1455;2542;3583
2017-801;3426;2383
2018-1200;999;3372
2017-177;1730;1561
2019-1098;2862;4454
2017-806;5106;2368
2019-1017;3735;4311
2017-502;3645;2139
2019-1120;56;4494
2017-811;237;2337
2019-1019;5388;4307
2017-514;4272;2154
2019-1391;4327;4606
2017-1071;1361;2495
2019-1031;2897;4355
2017-520;3711;2180
2019-1400;1241;4608
2017-1073;1313;2503
2019-1037;2991;4382
2017-522;1451;2193
2018-765;613;3088
2017-1104;2322;2561
2019-1237;1839;4533
2017-535;4440;2181
2018-779;724;3129
2017-1557;4480;2066
2019-1241;1340;4525
2017-559;1042;2187
2018-780;3597;3127
2017-1559;2285;1956
2019-1250;3372;4514
2017-569;4234;2206
2018-1474;2320;3588
2017-920;4385;2403
2019-1254;1119;4551
2017-452;3360;2080
2018-1479;305;3599
2017-932;4344;2441
2019-1262;3735;4560
2017-621;5388;2303
2018-1494;1075;3627
2017-936;2120;2366
2018-1255;4188;3427
2017-640;3744;2214
2018-880;4439;3186
2017-1147;1433;1728
2019-18;477;3675
2017-663;4411;2269
2017-1224;4475;1837
2019-22;4378;3695
2017-687;2096;2295
2017-1225;4839;1759
2019-25;4362;3695
2017-409;5217;2087
2017-1250;4311;1806
2019-915;4070;4316
2017-411;3770;2058
2017-1052;2948;2485
2019-1279;2352;4537
2017-423;815;2101
2017-1411;4758;1866
2019-979;2427;4319
2017-429;1091;2093
2017-1416;4654;1845
2019-653;2998;4115
2017-597;5296;2196
2017-1422;4395;1434
2018-1411;328;3560
2017-610;4441;2252
2017-1608;3405;2011
2016-767;1843;89
2017-490;4527;2281
2017-1609;1818;2004
2016-782;4370;1157
2017-822;2648;2390
2017-1518;2190;1439
2016-784;4267;1398
2017-835;2549;2307
2017-1554;4186;1900
2016-2316;5144;430
2017-838;2527;2307
2017-1312;3572;1791
2016-2319;864;740
2017-847;3257;2368
2017-1350;4515;1946
2016-2325;2462;1144
2017-864;1307;2406
2017-1358;1403;1913
2016-2333;4524;461
2017-876;4298;2392
2017-1711;268;1487
2016-2344;108;1239
2017-882;4689;2389
2017-1721;2120;1445
2016-2348;1160;805
2017-795;4163;2384
2017-1735;3533;1485
2016-2377;4645;155
2017-959;1175;2419
2017-1742;419;1503
2020-855;2273;5472
2017-725;2728;2293
2017-1623;1485;1437
2020-858;312;5474
2017-729;5264;2330
2018-68;1190;2593
2020-881;112;5481
2017-735;4830;2265
2018-69;3444;2593
2020-897;1939;5471
2017-751;4951;2296
2018-87;115;2618
2016-837;5221;1084
2017-1198;3153;1758
2018-91;4488;2613
2016-838;4700;1353
2017-1211;646;1762
2018-116;674;2645
2016-850;2254;748
2017-1212;4378;1748
2017-1568;1162;1961
2016-867;4025;49
2017-1217;2523;1799
2017-1581;686;1966
2016-869;4942;305
2017-804;3241;2344
2017-1591;4166;2027
2016-886;5281;454
2017-1114;3430;2544
2018-371;4961;2803
2016-890;4378;622
2017-916;3073;2408
2017-1650;788;1995
2016-2385;4328;843
2017-919;256;2416
2017-1653;973;2143
2016-2402;2380;87
2017-1138;4162;2567
2017-1664;4038;2007
2016-2426;1013;955
2017-1161;3487;1743
2017-1667;374;2098
2016-2433;566;940
2017-1257;5156;1804
2018-4;2057;2578
2016-2436;3832;409
2017-1031;4442;2471
2018-6;1335;2576
2016-2450;222;1178
2017-1397;4274;1868
2018-10;4321;2734
2016-2469;4022;995
2017-1420;4460;1871
2018-178;1068;2706
2020-920;5189;5533
2017-1180;4439;1768
2018-195;4817;2706
2020-921;5189;5546
2017-1519;649;1929
2018-391;5009;2832
2020-926;4172;5538
2017-1532;4513;1899
2018-394;3863;2871
2020-957;1180;5492
2017-1442;2454;1873
2018-408;1864;2836
2020-963;3951;5530
2017-1465;1643;1984
2018-432;4810;2844
2020-965;2301;5527
2017-1310;5322;1789
2018-443;4202;2855
2020-971;4197;5560
2017-1686;5145;1430
2018-136;2566;2649
2020-990;3786;5537
2017-1699;1766;1447
2018-340;453;2781
2016-904;3830;560
2017-1720;1652;1453
2018-352;2902;2793
2016-925;5379;781
2017-1732;5076;1498
2018-366;571;2789
2016-957;2996;118
2017-1734;3533;1480
2018-201;4949;2706
2016-2483;139;1107
2017-1620;1309;2075
2018-215;2409;2684
2016-2495;4221;155
2017-1471;1252;1914
2018-217;48;2691
2016-2522;3848;219
2017-1476;2447;1904
2018-510;2606;2920
2016-2530;1022;896
2017-1490;2683;2057
2018-723;3953;3049
2016-2547;4344;331
2018-92;4484;2609
2018-520;1233;2924
2016-2576;4689;580
2018-119;2811;2666
2018-634;4332;2988
2020-1041;395;5548
2018-127;5205;2671
2018-640;4628;3014
2020-1050;3487;5585
2017-1566;3695;1918
2018-673;2047;3008
2020-1064;193;5578
2018-372;1393;2827
2018-474;2979;2873
2016-1002;5352;713
2018-376;1350;2815
2019-1750;5363;4889
2016-1025;5276;151
2017-1642;3698;1999
2019-1759;3646;4885
2016-1028;5182;226
2017-1645;4393;1977
2018-1122;1334;3306
2016-2639;1875;667
2017-1655;2460;2133
2018-586;1934;2974
2016-2645;3407;1075
2018-245;3832;2743
2018-966;3124;3200
2016-2648;1394;1281
2018-261;4370;2708
2018-968;678;3194
2016-2669;3815;349
2018-281;2202;2771
2018-979;3008;3254
2016-2672;4144;440
2018-285;3754;2758
2019-738;1453;4197
2016-2673;539;490
2018-306;5146;2766
2019-748;4389;4183
2016-1048;1853;57
2018-15;4342;2627
2019-762;1208;4246
2016-1057;4462;669
2018-163;1920;2674
2019-768;2173;4207
2016-1064;4950;51
2018-164;3260;2681
2019-1729;2012;4857
2020-1093;4149;5601
2018-384;4339;2837
2018-1214;3843;3385
2020-1111;5116;5601
2018-385;1046;2830
2019-818;412;4214
2020-1130;5108;5601
2018-387;4508;2872
2019-820;3696;4269
2016-1100;5447;999
2018-414;3249;2903
2019-1140;1173;4488
2016-1142;857;485
2018-425;2636;2834
2019-1153;2472;4478
2016-1144;4182;535
2018-427;1981;2840
2019-1157;102;4446
2016-1145;2386;607
2018-143;5040;2659
2019-1173;2316;4486
2016-1174;4271;107
2018-333;4202;2762
2019-1180;4122;4492
2016-1187;3906;1301
2018-358;4069;2774
2019-1181;5361;4547
2016-2686;1003;1238
2018-619;755;2966
2018-1183;2551;3361
2016-2708;3844;1159
2018-620;3166;2992
2019-1223;4928;4541
2016-2734;5179;1389
2018-199;4559;2706
2018-1210;1919;3374
2016-2752;5179;592
2018-208;4735;2724
2018-1213;1105;3381
2016-2764;1923;102
2018-220;2621;2688
2019-675;1207;4136
2016-2768;3433;677
2018-479;3559;2886
2019-1006;4370;4334
2016-2771;5131;322
2018-489;4362;2909
2019-1010;1558;4308
2016-1211;4623;347
2018-498;3499;2885
2019-1018;1951;4408
2016-1212;4540;1103
2018-499;4039;2885
2019-1233;4584;4562
2016-1213;4231;1130
2018-508;5116;2920
2019-1264;2971;4502
2016-1243;4231;1407
2018-720;4102;3033
2019-1266;3321;4625
2016-1263;4117;496
2018-721;3652;3032
2018-1248;4039;3358
2016-1274;599;1214
2018-736;4886;3068
2019-921;143;4312
2016-1280;4395;1061
2018-529;2458;2900
2019-929;4485;4418
2016-2785;4024;95
2018-541;1527;2932
2019-1277;3230;4540
2016-2794;2723;637
2018-637;4357;2978
2019-988;4794;4372
2020-18;480;4911
2018-664;3679;2998
2019-50;3126;3680
2016-1309;4777;1152
2018-671;171;3017
2019-1080;2919;4510
2016-1351;3222;140
2018-676;2722;3012
2019-1090;4637;4422
2020-65;1890;4957
2018-454;5183;2879
2019-1340;623;4599
2020-96;2154;4952
2019-1752;3138;4881
2016-772;458;363
2020-103;1197;4950
2018-1115;2377;3357
2016-2299;5422;460
2020-117;2829;5015
2018-1133;1071;3348
2016-2371;5427;190
2020-126;58;4971
2018-1145;1397;3316
2016-2376;4036;151
2016-1412;4588;546
2018-573;2553;2947
2020-848;4368;5502
2016-1435;5388;114
2018-574;1024;2941
2020-852;2007;5485
2016-1456;4790;1051
2018-606;3113;2956
2020-867;1021;5504
2016-1470;4646;77
2018-612;4367;2975
2020-902;834;5488
2016-1557;2096;310
2018-962;1192;3218
2020-905;849;5507
2020-237;1551;5053
2018-964;1192;3207
2020-914;984;5529
2020-246;3627;5044
2018-965;3124;3181
2016-840;4905;1407
2016-12;4849;155
2018-993;691;3225
2016-872;2788;924
2016-16;2373;430
2018-999;4443;3234
2016-880;4266;831
2016-29;4922;994
2019-140;485;3757
2016-881;5443;898
2016-57;1797;797
2019-151;3749;3754
2016-2420;2860;749
2016-58;3870;812
2019-410;3326;3956
2016-2427;4378;1015
2016-82;3339;605
2019-745;5236;4189
2016-2462;3927;443
2016-83;3977;694
2019-752;5245;4206
2016-2463;4739;454
2016-1591;1710;101
2018-1238;1779;3370
2016-2478;2412;568
2016-1592;3961;162
2019-880;851;4268
2020-915;3547;5522
2016-1607;5166;155
2019-888;4375;4273
2020-923;5232;5519
2016-1633;2419;600
2019-908;1975;4305
2020-989;3786;5537
2016-1643;3724;487
2019-806;1531;4217
2016-995;5318;454
2016-1669;5404;487
2019-812;4712;4217
2016-2496;3047;203
2020-298;3704;5084
2019-1166;1682;4504
2016-2500;2956;685
2020-345;3772;5109
2018-1168;2701;3342
2016-2507;5468;537
2020-362;4646;5126
2018-1175;344;3419
2016-2518;5325;732
2020-366;4598;5124
2018-1188;1718;3389
2016-2532;3830;1000
2019-262;1380;3827
2018-1191;912;3377
2020-992;4208;5537
2019-611;4036;4119
2019-835;3647;4230
2020-1045;2990;5552
2019-634;3373;4152
2019-845;2973;4248
2016-1018;5055;672
2019-1594;4123;4774
2019-855;4166;4292
2016-1024;4720;151
2016-153;4144;111
2019-856;4475;4242
2016-2640;1342;697
2016-1693;1820;1179
2019-865;1824;4235
2016-1043;461;478
2016-1702;4387;450
2019-1191;5160;4521
2016-1071;1952;210
2016-1714;5270;424
2019-1205;3397;4492
2016-1078;4854;668
2016-1717;1745;640
2018-1199;2657;3356
2020-1084;5104;5601
2016-1740;111;788
2019-1027;839;4431
2019-173;1817;3788
2020-1095;4149;5601
2016-1755;4150;826
2019-1032;2897;4360
2019-176;1493;3810
2020-1104;4705;5601
2016-1769;5360;1161
2019-1036;3526;4439
2019-515;3487;4009
2016-1108;5133;424
2020-380;3984;5140
2019-1261;5326;4560
2019-1446;2264;4700
2019-522;1791;4029
2016-1139;5391;372
2020-426;2132;5147
2019-1272;272;4611
2019-1453;1455;4652
2018-819;5369;3108
2016-1160;3802;1123
2020-436;3312;5170
2018-1256;1003;3413
2018-825;4611;3132
2018-1520;1209;3615
2016-1163;3660;1279
2020-438;3216;5181
2018-1579;4158;3664
2018-830;475;3116
2018-1524;3001;3584
2016-1164;2536;1305
2019-1620;2353;4775
2019-9;3666;3674
2018-833;2938;3141
2018-1527;980;3612
2016-2685;4233;1153
2018-1308;2185;3549
2019-20;3370;3675
2018-1521;769;3630
2018-1529;2162;3649
2016-2721;2484;174
2018-1317;489;3437
2019-916;5217;4297
2019-461;1207;3974
2018-1531;516;3648
2016-2733;1857;1358
2018-1332;821;3484
2019-923;676;4376
2019-493;5380;4015
2019-490;2585;4006
2016-2742;2344;134
2016-209;4169;1134
2019-934;765;4352
2019-502;4138;4010
2019-1459;465;4679
2016-2755;862;762
2016-212;5287;1235
2019-941;3825;4395
2019-1461;4593;4697
2019-1462;4593;4687
2020-1149;52;5599
2016-263;5142;5
2019-964;748;4414
2019-1463;2818;4666
2018-870;3490;3138
2020-1153;3642;5594
2016-283;4799;411
2019-967;3709;4372
2018-848;4116;3112
2018-1275;1688;3417
2020-1160;4339;5591
2016-1794;4228;719
2019-989;5017;4343
2018-875;408;3159
2018-1290;4188;3456
2016-1206;1401;1286
2016-1804;3944;351
2019-1051;1473;4456
2019-1585;1182;4778
2019-244;1409;3856
2016-1221;3851;145
2016-1828;4553;363
2019-1052;1785;4429
2018-935;1899;3209
2019-258;3839;3850
2016-1244;4339;1427
2016-1865;4635;1109
2019-1057;82;4436
2018-936;5135;3221
2019-530;308;4076
2016-1264;1866;517
2016-1870;3442;122
2019-1066;60;4404
2018-1281;4188;3449
2019-540;2295;4028
2016-1270;1482;539
2020-447;1489;5175
2019-1073;2479;4388
2019-234;5072;3829
2019-1501;1306;4708
2016-2796;5080;713
2019-296;3700;3866
2019-1075;2416;4420
2019-536;4157;4031
2019-1508;1758;4748
2020-8;1783;4909
2016-329;2858;1171
2019-1089;4215;4432
2019-1518;60;4721
2019-1527;3343;4723
2020-29;3510;4903
2016-336;4150;1326
2016-766;3513;22
2019-1528;2925;4723
2018-892;4224;3151
2020-40;740;4951
2016-1886;4364;1156
2016-768;3117;125
2019-1534;3706;4737
2018-913;4193;3177
2020-56;5304;4937
2016-1936;5451;1390
2016-773;358;1210
2018-886;4208;3155
2019-224;1225;3804
2016-1307;4433;1076
2016-1938;230;21
2016-788;4431;593
2018-902;4559;3156
2019-555;3713;4112
2016-1326;172;279
2016-1952;3763;1070
2016-800;2550;458
2019-186;4257;3786
2019-569;3325;4065
2016-1328;3728;464
2016-1968;5087;1051
2016-2314;5441;82
2019-551;4426;4037
2019-585;1239;4074
2016-1334;4938;1149
2016-1969;3819;1051
2016-2347;5039;759
2019-573;2290;4051
2019-1550;2761;4771
2016-1350;3287;649
2020-552;963;5215
2020-856;1112;5472
2019-580;4234;4083
2019-1555;2789;4751
2016-1353;4560;1152
2020-560;3568;5263
2020-857;326;5472
2017-77;3638;1516
2019-1577;524;4787
2016-1356;4766;322
2020-563;3303;5288
2020-903;2356;5495
2017-84;1407;1514
2019-1579;4395;4744
2016-1379;1596;635
2020-568;2438;5275
2016-858;5084;917
2017-96;1457;1522
2016-2585;4632;1152
2016-1382;3210;848
2020-593;4725;5330
2016-878;2343;1382
2016-2583;1658;385
2016-2600;2713;186
2020-57;1751;4946
2020-600;369;5290
2016-2388;3682;1049
2016-2616;356;672
2017-107;2120;1538
2020-72;3371;4943
2019-1641;4857;4801
2016-2406;1651;642
2016-2619;5331;1398
2017-109;4992;1621
2020-127;4415;4973
2019-1645;2998;4845
2016-2453;4967;796
2017-118;4945;1625
2017-117;4133;1625
2020-129;5316;4972
2019-1658;5395;4798
2016-2470;4828;1068
2017-186;4040;1647
2017-188;4729;1555
2020-133;410;4988
2019-1659;4915;4798
2016-2475;4531;1375
2017-202;2812;1591
2017-212;3165;1579
2016-1393;3188;397
2018-1033;2670;3268
2020-942;5016;5521
2017-233;5069;1653
2017-218;3517;1629
2016-1406;4024;1043
2018-1035;3786;3274
2020-951;2266;5500
2017-250;3255;1624
2017-225;4327;1655
2016-1413;1755;570
2018-1046;2261;3259
2020-976;3600;5563
2017-16;2416;1511
2017-243;939;1615
2016-1422;4429;316
2018-1047;4102;3264
2016-903;3227;406
2017-65;5466;1530
2017-25;5245;1501
2016-1425;3292;1153
2016-403;1568;1188
2016-908;1416;973
2017-306;5223;1681
2017-28;3995;1501
2016-1488;4658;968
2016-418;4371;203
2016-955;5162;909
2017-316;121;1679
2017-47;4620;1548
2020-188;2015;5017
2016-474;5411;764
2016-958;857;344
2017-353;1686;2009
2017-50;5265;1559
2016-1534;4118;1130
2016-496;3105;137
2016-959;2196;486
2017-270;3144;1639
2017-304;4389;1682
2016-1547;1697;794
2016-1997;1076;1391
2016-2494;4679;148
2017-278;683;1648
2017-319;1114;1721
2016-1583;2839;2
2016-2015;490;452
2016-2535;2858;1176
2017-289;4074;1669
2017-336;4492;2061
2020-212;1525;5028
2020-635;2847;5317
2016-2572;3850;501
2017-142;1019;1578
2017-137;403;1580
2020-221;2829;5032
2020-652;4229;5319
2020-1010;4144;5537
2017-149;4297;1607
2017-138;5203;1608
2020-233;4316;5040
2020-668;5027;5353
2020-1061;954;5547
2017-168;3195;1563
2017-163;651;1566
2020-242;3157;5046
2019-100;2348;3741
2016-1011;4025;224
2017-497;4225;2238
2017-178;105;1561
2020-244;3627;5044
